 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-3.000000,0.416061,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,0.000000,0.000000
-2.000000,0.404322,10000,10000,1.000000,10000,10000,1.000000,9997,10000,0.999700,9983,9997,0.998300,0.000000,0.002992
-1.000000,0.384306,10000,10000,1.000000,9990,10000,0.999000,9935,9990,0.993500,9807,9935,0.980700,0.000000,0.033968
0.000000,0.362772,9998,10000,0.999800,9833,9998,0.983300,9507,9833,0.950700,8946,9507,0.894600,0.000352,0.185504
1.000000,0.348735,9976,10000,0.997600,9471,9976,0.947100,8376,9471,0.837600,6900,8376,0.690000,0.004224,0.545600
2.000000,0.298238,9545,10000,0.954500,7750,9545,0.775000,5775,7750,0.577500,3768,5775,0.376800,0.080080,1.096832
3.000000,0.246568,8520,10000,0.852000,5704,8520,0.570400,3304,5704,0.330400,1453,3304,0.145300,0.260480,1.504272
4.000000,0.162640,6145,10000,0.614500,3156,6145,0.315600,1271,3156,0.127100,312,1271,0.031200,0.678480,1.705088
5.000000,0.106502,4276,10000,0.427600,1679,4276,0.167900,410,1679,0.041000,71,410,0.007100,1.007424,1.747504
6.000000,0.058801,2567,10000,0.256700,723,2567,0.072300,107,723,0.010700,19,107,0.001900,1.308208,1.756656
7.000000,0.029468,1386,10000,0.138600,304,1386,0.030400,14,304,0.001400,2,14,0.000200,1.516064,1.759648
8.000000,0.012693,667,10000,0.066700,81,667,0.008100,2,81,0.000200,0,2,0.000000,1.642608,1.760000
9.000000,0.004109,232,10000,0.023200,13,232,0.001300,1,13,0.000100,0,1,0.000000,1.719168,1.760000
10.000000,0.001957,117,10000,0.011700,10,117,0.001000,0,10,0.000000,0,0,0.000000,1.739408,1.760000
11.000000,0.000622,37,10000,0.003700,7,37,0.000700,2,7,0.000200,1,2,0.000100,1.753488,1.759824
12.000000,0.000048,4,10000,0.000400,0,4,0.000000,0,0,0.000000,0,0,0.000000,1.759296,1.760000
13.000000,0.000006,1,10000,0.000100,0,1,0.000000,0,0,0.000000,0,0,0.000000,1.759824,1.760000
14.000000,0.000000,0,10000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,1.760000,1.760000
