 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-7.000000,0.404350,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-6.000000,0.393748,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,998,1000,0.998000,0.000000,0.008800
-5.000000,0.356443,1000,1000,1.000000,998,1000,0.998000,977,998,0.977000,965,977,0.965000,0.000000,0.154000
-4.000000,0.375141,1000,1000,1.000000,1000,1000,1.000000,983,1000,0.983000,958,983,0.958000,0.000000,0.184800
-3.000000,0.327668,1000,1000,1.000000,962,1000,0.962000,745,962,0.745000,621,745,0.621000,0.000000,1.667600
-2.000000,0.276766,990,1000,0.990000,764,990,0.764000,462,764,0.462000,350,462,0.350000,0.044000,2.860000
-1.000000,0.243766,940,1000,0.940000,558,940,0.558000,211,558,0.211000,137,211,0.137000,0.264000,3.797200
0.000000,0.139964,652,1000,0.652000,191,652,0.191000,63,191,0.063000,28,63,0.028000,1.531200,4.276800
1.000000,0.094382,462,1000,0.462000,108,462,0.108000,21,108,0.021000,11,21,0.011000,2.367200,4.351600
2.000000,0.011152,63,1000,0.063000,5,63,0.005000,1,5,0.001000,0,1,0.000000,4.122800,4.400000
3.000000,0.030580,171,1000,0.171000,15,171,0.015000,3,15,0.003000,1,3,0.001000,3.647600,4.395600
4.000000,0.006030,33,1000,0.033000,2,33,0.002000,1,2,0.001000,0,1,0.000000,4.254800,4.400000
5.000000,0.001600,11,1000,0.011000,0,11,0.000000,0,0,0.000000,0,0,0.000000,4.351600,4.400000
6.000000,0.000330,3,1000,0.003000,0,3,0.000000,0,0,0.000000,0,0,0.000000,4.386800,4.400000
7.000000,0.000000,0,1000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,4.400000,4.400000
