 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-5.000000,0.215772,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-4.000000,0.204187,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-3.000000,0.201130,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-2.000000,0.194035,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-1.000000,0.171957,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
0.000000,0.175522,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
1.000000,0.165680,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
2.000000,0.156053,502,502,1.000000,502,502,1.000000,502,502,1.000000,375,502,0.747012,0.000000,1.517928
3.000000,0.148247,502,502,1.000000,502,502,1.000000,209,502,0.416335,0,209,0.000000,0.000000,6.000000
4.000000,0.136697,502,502,1.000000,502,502,1.000000,21,502,0.041833,0,21,0.000000,0.000000,6.000000
5.000000,0.120567,502,502,1.000000,472,502,0.940239,0,472,0.000000,0,0,0.000000,0.000000,6.000000
6.000000,0.115810,502,502,1.000000,284,502,0.565737,0,284,0.000000,0,0,0.000000,0.000000,6.000000
7.000000,0.105463,502,502,1.000000,75,502,0.149402,0,75,0.000000,0,0,0.000000,0.000000,6.000000
8.000000,0.057638,401,502,0.798805,0,401,0.000000,0,0,0.000000,0,0,0.000000,1.207171,6.000000
9.000000,0.009392,100,571,0.175131,0,100,0.000000,0,0,0.000000,0,0,0.000000,4.949212,6.000000
10.000000,0.002010,24,1000,0.024000,0,24,0.000000,0,0,0.000000,0,0,0.000000,5.856000,6.000000
11.000000,0.000000,0,1000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,6.000000,6.000000
