 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-3.000000,0.370077,1000,1000,1.000000,1000,1000,1.000000,998,1000,0.998000,995,998,0.995000,0.000000,0.005200
-2.000000,0.362654,1000,1000,1.000000,997,1000,0.997000,979,997,0.979000,946,979,0.946000,0.000000,0.056160
-1.000000,0.330635,996,1000,0.996000,962,996,0.962000,888,962,0.888000,773,888,0.773000,0.004160,0.236080
0.000000,0.301317,987,1000,0.987000,885,987,0.885000,733,885,0.733000,551,733,0.551000,0.013520,0.466960
1.000000,0.256885,906,1000,0.906000,703,906,0.703000,468,703,0.468000,241,468,0.241000,0.097760,0.789360
2.000000,0.196308,743,1000,0.743000,444,743,0.444000,177,444,0.177000,58,177,0.058000,0.267280,0.979680
3.000000,0.139894,577,1000,0.577000,291,577,0.291000,77,291,0.077000,18,77,0.018000,0.439920,1.021280
4.000000,0.088952,401,1000,0.401000,126,401,0.126000,12,126,0.012000,3,12,0.003000,0.622960,1.036880
5.000000,0.052808,244,1000,0.244000,54,244,0.054000,3,54,0.003000,0,3,0.000000,0.786240,1.040000
6.000000,0.030019,149,1000,0.149000,23,149,0.023000,0,23,0.000000,0,0,0.000000,0.885040,1.040000
7.000000,0.011548,66,1000,0.066000,5,66,0.005000,0,5,0.000000,0,0,0.000000,0.971360,1.040000
8.000000,0.006346,40,1000,0.040000,4,40,0.004000,1,4,0.001000,0,1,0.000000,0.998400,1.040000
9.000000,0.002327,14,1000,0.014000,0,14,0.000000,0,0,0.000000,0,0,0.000000,1.025440,1.040000
10.000000,0.000106,1,1000,0.001000,0,1,0.000000,0,0,0.000000,0,0,0.000000,1.038960,1.040000
