 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-1.000000,0.207923,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
0.000000,0.197042,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
1.000000,0.198952,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
2.000000,0.188062,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
3.000000,0.177273,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
4.000000,0.167902,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
5.000000,0.167117,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
6.000000,0.159622,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
7.000000,0.143349,502,502,1.000000,502,502,1.000000,502,502,1.000000,484,502,0.964143,0.000000,0.381514
8.000000,0.140235,502,502,1.000000,502,502,1.000000,501,502,0.998008,342,501,0.681275,0.000000,3.391235
9.000000,0.136637,502,502,1.000000,502,502,1.000000,422,502,0.840637,31,422,0.061753,0.000000,9.982948
10.000000,0.127189,502,502,1.000000,502,502,1.000000,8,502,0.015936,0,8,0.000000,0.000000,10.640000
11.000000,0.111461,502,502,1.000000,502,502,1.000000,0,502,0.000000,0,0,0.000000,0.000000,10.640000
12.000000,0.111072,502,502,1.000000,502,502,1.000000,0,502,0.000000,0,0,0.000000,0.000000,10.640000
13.000000,0.113602,502,502,1.000000,502,502,1.000000,0,502,0.000000,0,0,0.000000,0.000000,10.640000
14.000000,0.088077,502,502,1.000000,443,502,0.882470,0,443,0.000000,0,0,0.000000,0.000000,10.640000
15.000000,0.072632,443,502,0.882470,314,443,0.625498,0,314,0.000000,0,0,0.000000,1.250518,10.640000
16.000000,0.085134,481,502,0.958167,370,481,0.737052,0,370,0.000000,0,0,0.000000,0.445100,10.640000
17.000000,0.066539,412,502,0.820717,267,412,0.531873,0,267,0.000000,0,0,0.000000,1.907570,10.640000
18.000000,0.058998,411,502,0.818725,175,411,0.348606,0,175,0.000000,0,0,0.000000,1.928765,10.640000
19.000000,0.054339,416,502,0.828685,200,416,0.398406,0,200,0.000000,0,0,0.000000,1.822789,10.640000
20.000000,0.040794,382,502,0.760956,40,382,0.079681,0,40,0.000000,0,0,0.000000,2.543426,10.640000
21.000000,0.017604,203,502,0.404382,3,203,0.005976,0,3,0.000000,0,0,0.000000,6.337371,10.640000
22.000000,0.006640,85,1000,0.085000,0,85,0.000000,0,0,0.000000,0,0,0.000000,9.735600,10.640000
23.000000,0.004581,67,1000,0.067000,0,67,0.000000,0,0,0.000000,0,0,0.000000,9.927120,10.640000
24.000000,0.000883,14,1000,0.014000,0,14,0.000000,0,0,0.000000,0,0,0.000000,10.491040,10.640000
25.000000,0.000000,0,1000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,10.640000,10.640000
