 SNR, Ber, Bler
-2.000000,0.448734,1.000000
-1.000000,0.442880,1.000000
0.000000,0.436392,1.000000
1.000000,0.443987,1.000000
2.000000,0.430063,1.000000
3.000000,0.392880,1.000000
4.000000,0.391772,1.000000
5.000000,0.384335,1.000000
6.000000,0.355854,1.000000
7.000000,0.351108,1.000000
8.000000,0.326266,1.000000
9.000000,0.288449,1.000000
10.000000,0.264557,1.000000
11.000000,0.222152,1.000000
12.000000,0.109177,0.500000
13.000000,0.174684,0.900000
14.000000,0.025316,0.100000
15.000000,0.000000,0.000000
